posting_id,role,skill_id,name,facet,ai_era
cake:funnow/dsimachine-learning-engineer,backend,docker,Docker,6,False
cake:funnow/dsimachine-learning-engineer,backend,dotnet,.NET,9,False
cake:momo-mservice/17642-machine-learning-engineer-ii-f5d70fbdbb7ec7bb744cad16808dfc,ml_engineer,machine_learning,Machine Learning (general),3,False
cake:momo-mservice/17002-senior-machine-learning-engineer-b8d3f9206c7e9d44bcec493fd16ab8,ml_engineer,machine_learning,Machine Learning (general),3,False
cake:logitech/ccdd762931a01000957a4c9ed4650000-sr-audio-ml-engineer-eceb3aa7822158b813cc86e411720a,ml_engineer,python,Python,1,False
cake:logitech/ccdd762931a01000957a4c9ed4650000-sr-audio-ml-engineer-eceb3aa7822158b813cc86e411720a,ml_engineer,machine_learning,Machine Learning (general),3,False
cake:logitech/ccdd762931a01000957a4c9ed4650000-sr-audio-ml-engineer-eceb3aa7822158b813cc86e411720a,ml_engineer,deep_learning,Deep Learning (general),4,False
cake:logitech/452955664b6b1001a59e9d07f10e0000-senior-artificial-intelligence-ai-5d37b02bbac398a4d0cf276c510a29,ml_engineer,python,Python,1,False
cake:logitech/452955664b6b1001a59e9d07f10e0000-senior-artificial-intelligence-ai-5d37b02bbac398a4d0cf276c510a29,ml_engineer,r_lang,R,1,False
cake:logitech/452955664b6b1001a59e9d07f10e0000-senior-artificial-intelligence-ai-5d37b02bbac398a4d0cf276c510a29,ml_engineer,machine_learning,Machine Learning (general),3,False
cake:logitech/452955664b6b1001a59e9d07f10e0000-senior-artificial-intelligence-ai-5d37b02bbac398a4d0cf276c510a29,ml_engineer,deep_learning,Deep Learning (general),4,False
cake:logitech/452955664b6b1001a59e9d07f10e0000-senior-artificial-intelligence-ai-5d37b02bbac398a4d0cf276c510a29,ml_engineer,pytorch,PyTorch,4,False
cake:logitech/452955664b6b1001a59e9d07f10e0000-senior-artificial-intelligence-ai-5d37b02bbac398a4d0cf276c510a29,ml_engineer,tensorflow,TensorFlow,4,False
cake:logitech/452955664b6b1001a59e9d07f10e0000-senior-artificial-intelligence-ai-5d37b02bbac398a4d0cf276c510a29,ml_engineer,aws,AWS,7,False
cake:logitech/452955664b6b1001a59e9d07f10e0000-senior-artificial-intelligence-ai-5d37b02bbac398a4d0cf276c510a29,ml_engineer,gcp,GCP,7,False
cake:hoyabit/machine-learning-engineer-3b1,ml_engineer,golang,Go,1,False
cake:hoyabit/machine-learning-engineer-3b1,ml_engineer,python,Python,1,False
cake:hoyabit/machine-learning-engineer-3b1,ml_engineer,kafka,Apache Kafka,2,False
cake:hoyabit/machine-learning-engineer-3b1,ml_engineer,spark,Apache Spark,2,False
cake:hoyabit/machine-learning-engineer-3b1,ml_engineer,machine_learning,Machine Learning (general),3,False
cake:hoyabit/machine-learning-engineer-3b1,ml_engineer,time_series,Time Series,3,False
cake:hoyabit/machine-learning-engineer-3b1,ml_engineer,pytorch,PyTorch,4,False
cake:hoyabit/machine-learning-engineer-3b1,ml_engineer,tensorflow,TensorFlow,4,False
cake:hoyabit/machine-learning-engineer-3b1,ml_engineer,ai_agents,AI Agents,5,True
cake:hoyabit/machine-learning-engineer-3b1,ml_engineer,fine_tuning,Fine-tuning,5,True
cake:hoyabit/machine-learning-engineer-3b1,ml_engineer,llm,Large Language Models,5,True
cake:hoyabit/machine-learning-engineer-3b1,ml_engineer,lora,LoRA / PEFT,5,True
cake:hoyabit/machine-learning-engineer-3b1,ml_engineer,rag,RAG,5,True
cake:hoyabit/machine-learning-engineer-3b1,ml_engineer,kubeflow,Kubeflow,6,True
cake:hoyabit/machine-learning-engineer-3b1,ml_engineer,mlflow,MLflow,6,True
cake:hoyabit/machine-learning-engineer-3b1,ml_engineer,model_serving,Model Serving,6,True
cake:Google/116716878784537286-software-engineer-machine-learning-payments-700f69464fc8f78f9ffa779f7e8ac4,data_scientist,java,Java,1,False
cake:Google/116716878784537286-software-engineer-machine-learning-payments-700f69464fc8f78f9ffa779f7e8ac4,data_scientist,python,Python,1,False
cake:Google/116716878784537286-software-engineer-machine-learning-payments-700f69464fc8f78f9ffa779f7e8ac4,data_scientist,machine_learning,Machine Learning (general),3,False
cake:Google/116716878784537286-software-engineer-machine-learning-payments-700f69464fc8f78f9ffa779f7e8ac4,data_scientist,statistics,Statistics,3,False
cake:Google/116716878784537286-software-engineer-machine-learning-payments-700f69464fc8f78f9ffa779f7e8ac4,data_scientist,nlp,NLP,4,False
cake:Google/116716878784537286-software-engineer-machine-learning-payments-700f69464fc8f78f9ffa779f7e8ac4,data_scientist,model_serving,Model Serving,6,True
cake:berryai/senior-machinelearning-engineer-2025,ml_engineer,java,Java,1,False
cake:berryai/senior-machinelearning-engineer-2025,ml_engineer,python,Python,1,False
cake:berryai/senior-machinelearning-engineer-2025,ml_engineer,machine_learning,Machine Learning (general),3,False
cake:berryai/senior-machinelearning-engineer-2025,ml_engineer,statistics,Statistics,3,False
cake:berryai/senior-machinelearning-engineer-2025,ml_engineer,computer_vision,Computer Vision,4,False
cake:berryai/senior-machinelearning-engineer-2025,ml_engineer,deep_learning,Deep Learning (general),4,False
cake:berryai/senior-machinelearning-engineer-2025,ml_engineer,pytorch,PyTorch,4,False
cake:berryai/senior-machinelearning-engineer-2025,ml_engineer,tensorflow,TensorFlow,4,False
cake:berryai/senior-machinelearning-engineer-2025,ml_engineer,ai_agents,AI Agents,5,True
cake:berryai/senior-machinelearning-engineer-2025,ml_engineer,fine_tuning,Fine-tuning,5,True
cake:berryai/senior-machinelearning-engineer-2025,ml_engineer,langchain,LangChain,5,True
cake:berryai/senior-machinelearning-engineer-2025,ml_engineer,llm,Large Language Models,5,True
cake:berryai/senior-machinelearning-engineer-2025,ml_engineer,lora,LoRA / PEFT,5,True
cake:berryai/senior-machinelearning-engineer-2025,ml_engineer,rag,RAG,5,True
cake:berryai/senior-machinelearning-engineer-2025,ml_engineer,mlflow,MLflow,6,True
cake:Google/117375887728353990-senior-software-engineer-machine-learning-debug-45a33b907462278dcb0d35c1de85e8,algorithm_engineer,java,Java,1,False
